Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Fri May  1 14:58:18 2026
| Host         : clara running 64-bit NixOS 25.11 (Xantusia)
| Command      : report_utilization -hierarchical -file util_inter_6.csv
| Design       : cyt_top
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+--------+--------+--------+------+------------+
|                                                                         Instance                                                                        |                                               Module                                              |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |   FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|                               gntv_or_sync_fifo.gcx.clkx                                                                                                |                                                                               xsdbm_6_clk_x_pntrs | Reconfigurable |            - |         11 |         11 |       0 |    0 |     32 |      0 |      0 |    0 |          0 |
|                                 (gntv_or_sync_fifo.gcx.clkx)                                                                                            |                                                                               xsdbm_6_clk_x_pntrs | Reconfigurable |            - |          9 |          9 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].rd_stg_inst                                                                                    |                                                           xsdbm_6_synchronizer_ff__parameterized0 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[1].wr_stg_inst                                                                                    |                                                         xsdbm_6_synchronizer_ff__parameterized0_4 | Reconfigurable |            - |          0 |          0 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[2].rd_stg_inst                                                                                    |                                                         xsdbm_6_synchronizer_ff__parameterized0_5 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                                 gnxpm_cdc.gsync_stage[2].wr_stg_inst                                                                                    |                                                         xsdbm_6_synchronizer_ff__parameterized0_6 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      4 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gl0.rd                                                                                                  |                                                                                  xsdbm_6_rd_logic | Reconfigurable |            - |         10 |         10 |       0 |    0 |     11 |      0 |      0 |    0 |          0 |
|                                 gras.rsts                                                                                                               |                                                                        xsdbm_6_rd_status_flags_as | Reconfigurable |            - |          2 |          2 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                                 grhf.rhf                                                                                                                |                                                                      xsdbm_6_rd_handshaking_flags | Reconfigurable |            - |          0 |          0 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 rpntr                                                                                                                   |                                                                               xsdbm_6_rd_bin_cntr | Reconfigurable |            - |          8 |          8 |       0 |    0 |      8 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.gl0.wr                                                                                                  |                                                                                  xsdbm_6_wr_logic | Reconfigurable |            - |          5 |          5 |       0 |    0 |     15 |      0 |      0 |    0 |          0 |
|                                 gwas.wsts                                                                                                               |                                                                        xsdbm_6_wr_status_flags_as | Reconfigurable |            - |          2 |          2 |       0 |    0 |      2 |      0 |      0 |    0 |          0 |
|                                 gwhf.whf                                                                                                                |                                                                      xsdbm_6_wr_handshaking_flags | Reconfigurable |            - |          0 |          0 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 wpntr                                                                                                                   |                                                                               xsdbm_6_wr_bin_cntr | Reconfigurable |            - |          3 |          3 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                               gntv_or_sync_fifo.mem                                                                                                     |                                                                                    xsdbm_6_memory | Reconfigurable |            - |         10 |          0 |      10 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 gdm.dm_gen.dm                                                                                                           |                                                                                      xsdbm_6_dmem | Reconfigurable |            - |         10 |          0 |      10 |    0 |     16 |      0 |      0 |    0 |          0 |
|                               rstblk                                                                                                                    |                                                                         xsdbm_6_reset_blk_ramfifo | Reconfigurable |            - |          4 |          4 |       0 |    0 |     16 |      0 |      0 |    0 |          0 |
|                                 (rstblk)                                                                                                                |                                                                         xsdbm_6_reset_blk_ramfifo | Reconfigurable |            - |          0 |          0 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].rrst_inst                                                                |                                                                           xsdbm_6_synchronizer_ff | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[1].wrst_inst                                                                |                                                                         xsdbm_6_synchronizer_ff_1 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].rrst_inst                                                                |                                                                         xsdbm_6_synchronizer_ff_2 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                                 ngwrdrst.grst.g7serrst.gwrrd_rst_sync_stage[2].wrst_inst                                                                |                                                                         xsdbm_6_synchronizer_ff_3 | Reconfigurable |            - |          1 |          1 |       0 |    0 |      1 |      0 |      0 |    0 |          0 |
|                   U_CMD7_CTL                                                                                                                            |                                                      xsdbm_6_xsdbm_v3_0_0_ctl_reg__parameterized2 | Reconfigurable |            - |          2 |          2 |       0 |    0 |     12 |      0 |      0 |    0 |          0 |
|                   U_CMD7_STAT                                                                                                                           |                                                   xsdbm_6_xsdbm_v3_0_0_stat_reg__parameterized0_0 | Reconfigurable |            - |          4 |          4 |       0 |    0 |     18 |      0 |      0 |    0 |          0 |
|                   U_STATIC_STATUS                                                                                                                       |                                                             xsdbm_6_xsdbm_v3_0_0_if_static_status | Reconfigurable |            - |          9 |          9 |       0 |    0 |      7 |      0 |      0 |    0 |          0 |
|                 U_XSDB_ADDRESS_CONTROLLER                                                                                                               |                                                                     xsdbm_6_xsdbm_v3_0_0_addr_ctl | Reconfigurable |            - |         18 |         18 |       0 |    0 |     19 |      0 |      0 |    0 |          0 |
|                 U_XSDB_BURST_WD_LEN_CONTROLLER                                                                                                          |                                                              xsdbm_6_xsdbm_v3_0_0_burst_wdlen_ctl | Reconfigurable |            - |         23 |         23 |       0 |    0 |     20 |      0 |      0 |    0 |          0 |
|                 U_XSDB_BUS_CONTROLLER                                                                                                                   |                                                                      xsdbm_6_xsdbm_v3_0_0_bus_ctl | Reconfigurable |            - |         65 |         65 |       0 |    0 |     48 |      0 |      0 |    0 |          0 |
